掘进机                                       ,客户    ,中铁十二局集团有限公司                                          ,
二次补浆系统                                    ,细目部件名称,压力                                                   ,
二次补浆系统                                    ,细目部件名称,搅拌罐                                                  ,
                                          ,      ,                                                     ,
流量                                        ,关联    ,压力                                                   ,
流量                                        ,关联    ,搅拌罐                                                  ,
压力                                        ,关联    ,搅拌罐                                                  ,
                                          ,      ,                                                     ,
流量                                        ,参数配置  ,                                                     ,
压力                                        ,参数配置  ,                                                     ,
搅拌罐                                       ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
膨润土系统                                     ,细目部件名称,膨润土泵型式                                               ,
膨润土系统                                     ,细目部件名称,膨润土泵数量（个）                                            ,
膨润土系统                                     ,细目部件名称,膨润土泵能力（m3/h）                                         ,
膨润土系统                                     ,细目部件名称,膨润土罐容量（m3）                                           ,
膨润土系统                                     ,细目部件名称,注入口数量（个）                                             ,
膨润土系统                                     ,细目部件名称,膨润土保压系统                                              ,
                                          ,      ,                                                     ,
膨润土泵型式                                    ,关联    ,膨润土泵数量（个）                                            ,
膨润土泵型式                                    ,关联    ,膨润土泵能力（m3/h）                                         ,
膨润土泵型式                                    ,关联    ,膨润土罐容量（m3）                                           ,
膨润土泵型式                                    ,关联    ,注入口数量（个）                                             ,
膨润土泵型式                                    ,关联    ,膨润土保压系统                                              ,
                                          ,      ,                                                     ,
膨润土泵数量（个）                                 ,关联    ,膨润土泵能力（m3/h）                                         ,
膨润土泵数量（个）                                 ,关联    ,膨润土罐容量（m3）                                           ,
膨润土泵数量（个）                                 ,关联    ,注入口数量（个）                                             ,
膨润土泵数量（个）                                 ,关联    ,膨润土保压系统                                              ,
                                          ,      ,                                                     ,
膨润土泵能力（m3/h）                              ,关联    ,膨润土罐容量（m3）                                           ,
膨润土泵能力（m3/h）                              ,关联    ,注入口数量（个）                                             ,
膨润土泵能力（m3/h）                              ,关联    ,膨润土保压系统                                              ,
                                          ,      ,                                                     ,
膨润土罐容量（m3）                                ,关联    ,注入口数量（个）                                             ,
膨润土罐容量（m3）                                ,关联    ,膨润土保压系统                                              ,
注入口数量（个）                                  ,关联    ,膨润土保压系统                                              ,
                                          ,      ,                                                     ,
膨润土泵型式                                    ,参数配置  ,                                                     ,
膨润土泵数量（个）                                 ,参数配置  ,                                                     ,
膨润土泵能力（m3/h）                              ,参数配置  ,                                                     ,
膨润土罐容量（m3）                                ,参数配置  ,                                                     ,
注入口数量（个）                                  ,参数配置  ,                                                     ,
膨润土保压系统                                   ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
泡沫系统                                      ,细目部件名称,管路注入数量（个）                                            ,
泡沫系统                                      ,细目部件名称,混合液注入量（m3/h）                                         ,
泡沫系统                                      ,细目部件名称,泡沫发生器数量（个）                                           ,
泡沫系统                                      ,细目部件名称,控制方式                                                 ,
泡沫系统                                      ,细目部件名称,泡沫原液箱容积（m3）                                          ,
泡沫系统                                      ,细目部件名称,混合液箱容积（m3）                                           ,
                                          ,      ,                                                     ,
管路注入数量（个）                                 ,关联    ,混合液注入量（m3/h）                                         ,
管路注入数量（个）                                 ,关联    ,泡沫发生器数量（个）                                           ,
管路注入数量（个）                                 ,关联    ,控制方式                                                 ,
管路注入数量（个）                                 ,关联    ,泡沫原液箱容积（m3）                                          ,
管路注入数量（个）                                 ,关联    ,混合液箱容积（m3）                                           ,
                                          ,      ,                                                     ,
混合液注入量（m3/h）                              ,关联    ,泡沫发生器数量（个）                                           ,
混合液注入量（m3/h）                              ,关联    ,控制方式                                                 ,
混合液注入量（m3/h）                              ,关联    ,泡沫原液箱容积（m3）                                          ,
混合液注入量（m3/h）                              ,关联    ,混合液箱容积（m3）                                           ,
                                          ,      ,                                                     ,
泡沫发生器数量（个）                                ,关联    ,控制方式                                                 ,
泡沫发生器数量（个）                                ,关联    ,泡沫原液箱容积（m3）                                          ,
泡沫发生器数量（个）                                ,关联    ,混合液箱容积（m3）                                           ,
                                          ,      ,                                                     ,
控制方式                                      ,关联    ,泡沫原液箱容积（m3）                                          ,
控制方式                                      ,关联    ,混合液箱容积（m3）                                           ,
泡沫原液箱容积（m3）                               ,关联    ,混合液箱容积（m3）                                           ,
                                          ,      ,                                                     ,
管路注入数量（个）                                 ,参数配置  ,                                                     ,
混合液注入量（m3/h）                              ,参数配置  ,                                                     ,
泡沫发生器数量（个）                                ,参数配置  ,                                                     ,
控制方式                                      ,参数配置  ,                                                     ,
泡沫原液箱容积（m3）                               ,参数配置  ,                                                     ,
混合液箱容积（m3）                                ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
压缩空气系统                                    ,细目部件名称,数量（个）                                                ,
压缩空气系统                                    ,细目部件名称,出口压力（bar）                                            ,
压缩空气系统                                    ,细目部件名称,空压机排量（m3/min）                                        ,
压缩空气系统                                    ,细目部件名称,气罐容量（m3）                                             ,
压缩空气系统                                    ,细目部件名称,供气分配网                                                ,
压缩空气系统                                    ,细目部件名称,过滤器                                                  ,
                                          ,      ,                                                     ,
数量（个）                                     ,关联    ,出口压力（bar）                                            ,
数量（个）                                     ,关联    ,空压机排量（m3/min）                                        ,
数量（个）                                     ,关联    ,气罐容量（m3）                                             ,
数量（个）                                     ,关联    ,供气分配网                                                ,
数量（个）                                     ,关联    ,过滤器                                                  ,
                                          ,      ,                                                     ,
出口压力（bar）                                 ,关联    ,空压机排量（m3/min）                                        ,
出口压力（bar）                                 ,关联    ,气罐容量（m3）                                             ,
出口压力（bar）                                 ,关联    ,供气分配网                                                ,
出口压力（bar）                                 ,关联    ,过滤器                                                  ,
                                          ,      ,                                                     ,
空压机排量（m3/min）                             ,关联    ,气罐容量（m3）                                             ,
空压机排量（m3/min）                             ,关联    ,供气分配网                                                ,
空压机排量（m3/min）                             ,关联    ,过滤器                                                  ,
                                          ,      ,                                                     ,
气罐容量（m3）                                  ,关联    ,供气分配网                                                ,
气罐容量（m3）                                  ,关联    ,过滤器                                                  ,
供气分配网                                     ,关联    ,过滤器                                                  ,
                                          ,      ,                                                     ,
数量（个）                                     ,参数配置  ,                                                     ,
出口压力（bar）                                 ,参数配置  ,                                                     ,
空压机排量（m3/min）                             ,参数配置  ,                                                     ,
气罐容量（m3）                                  ,参数配置  ,                                                     ,
供气分配网                                     ,参数配置  ,                                                     ,
过滤器                                       ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
工业供水及冷却系统                                 ,细目部件名称,外循环进水量（m3/h）                                         ,
工业供水及冷却系统                                 ,细目部件名称,设备要求供水压力（bar）                                        ,
工业供水及冷却系统                                 ,细目部件名称,进水温度（℃）                                              ,
工业供水及冷却系统                                 ,细目部件名称,延伸管路规格                                               ,
工业供水及冷却系统                                 ,细目部件名称,水管卷筒数量（个）                                            ,
工业供水及冷却系统                                 ,细目部件名称,水管长度（m）                                              ,
工业供水及冷却系统                                 ,细目部件名称,冷却系统型式                                               ,
工业供水及冷却系统                                 ,细目部件名称,内循环水泵                                                ,
                                          ,      ,                                                     ,
外循环进水量（m3/h）                              ,关联    ,设备要求供水压力（bar）                                        ,
外循环进水量（m3/h）                              ,关联    ,进水温度（℃）                                              ,
外循环进水量（m3/h）                              ,关联    ,延伸管路规格                                               ,
外循环进水量（m3/h）                              ,关联    ,水管卷筒数量（个）                                            ,
外循环进水量（m3/h）                              ,关联    ,水管长度（m）                                              ,
外循环进水量（m3/h）                              ,关联    ,冷却系统型式                                               ,
外循环进水量（m3/h）                              ,关联    ,内循环水泵                                                ,
                                          ,      ,                                                     ,
设备要求供水压力（bar）                             ,关联    ,进水温度（℃）                                              ,
设备要求供水压力（bar）                             ,关联    ,延伸管路规格                                               ,
设备要求供水压力（bar）                             ,关联    ,水管卷筒数量（个）                                            ,
设备要求供水压力（bar）                             ,关联    ,水管长度（m）                                              ,
设备要求供水压力（bar）                             ,关联    ,冷却系统型式                                               ,
设备要求供水压力（bar）                             ,关联    ,内循环水泵                                                ,
                                          ,      ,                                                     ,
进水温度（℃）                                   ,关联    ,延伸管路规格                                               ,
进水温度（℃）                                   ,关联    ,水管卷筒数量（个）                                            ,
进水温度（℃）                                   ,关联    ,水管长度（m）                                              ,
进水温度（℃）                                   ,关联    ,冷却系统型式                                               ,
进水温度（℃）                                   ,关联    ,内循环水泵                                                ,
                                          ,      ,                                                     ,
延伸管路规格                                    ,关联    ,水管卷筒数量（个）                                            ,
延伸管路规格                                    ,关联    ,水管长度（m）                                              ,
延伸管路规格                                    ,关联    ,冷却系统型式                                               ,
延伸管路规格                                    ,关联    ,内循环水泵                                                ,
                                          ,      ,                                                     ,
水管卷筒数量（个）                                 ,关联    ,水管长度（m）                                              ,
水管卷筒数量（个）                                 ,关联    ,冷却系统型式                                               ,
水管卷筒数量（个）                                 ,关联    ,内循环水泵                                                ,
                                          ,      ,                                                     ,
水管长度（m）                                   ,关联    ,冷却系统型式                                               ,
水管长度（m）                                   ,关联    ,内循环水泵                                                ,
冷却系统型式                                    ,关联    ,内循环水泵                                                ,
                                          ,      ,                                                     ,
外循环进水量（m3/h）                              ,参数配置  ,                                                     ,
设备要求供水压力（bar）                             ,参数配置  ,                                                     ,
进水温度（℃）                                   ,参数配置  ,                                                     ,
延伸管路规格                                    ,参数配置  ,                                                     ,
水管卷筒数量（个）                                 ,参数配置  ,                                                     ,
水管长度（m）                                   ,参数配置  ,                                                     ,
冷却系统型式                                    ,参数配置  ,                                                     ,
内循环水泵                                     ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
盾尾油脂系统                                    ,细目部件名称,油脂泵型式                                                ,
盾尾油脂系统                                    ,细目部件名称,油脂泵能力（ml/次）                                          ,
盾尾油脂系统                                    ,细目部件名称,油脂泵压力（bar）                                           ,
盾尾油脂系统                                    ,细目部件名称,油脂桶规格（L）                                             ,
                                          ,      ,                                                     ,
油脂泵型式                                     ,关联    ,油脂泵能力（ml/次）                                          ,
油脂泵型式                                     ,关联    ,油脂泵压力（bar）                                           ,
油脂泵型式                                     ,关联    ,油脂桶规格（L）                                             ,
                                          ,      ,                                                     ,
油脂泵能力（ml/次）                               ,关联    ,油脂泵压力（bar）                                           ,
油脂泵能力（ml/次）                               ,关联    ,油脂桶规格（L）                                             ,
油脂泵压力（bar）                                ,关联    ,油脂桶规格（L）                                             ,
                                          ,      ,                                                     ,
油脂泵型式                                     ,参数配置  ,                                                     ,
油脂泵能力（ml/次）                               ,参数配置  ,                                                     ,
油脂泵压力（bar）                                ,参数配置  ,                                                     ,
油脂桶规格（L）                                  ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
油脂集中润滑系统                                  ,细目部件名称,油脂系统型式                                               ,
油脂集中润滑系统                                  ,细目部件名称,主驱动油脂泵型式                                             ,
油脂集中润滑系统                                  ,细目部件名称,主驱动油脂泵能力（ml/次）                                       ,
油脂集中润滑系统                                  ,细目部件名称,主驱动油脂泵压力（bar）                                        ,
油脂集中润滑系统                                  ,细目部件名称,油脂桶规格（L）                                             ,
                                          ,      ,                                                     ,
油脂系统型式                                    ,关联    ,主驱动油脂泵型式                                             ,
油脂系统型式                                    ,关联    ,主驱动油脂泵能力（ml/次）                                       ,
油脂系统型式                                    ,关联    ,主驱动油脂泵压力（bar）                                        ,
油脂系统型式                                    ,关联    ,油脂桶规格（L）                                             ,
                                          ,      ,                                                     ,
油脂系统型式                                    ,关联    ,主驱动油脂泵能力（ml/次）                                       ,
油脂系统型式                                    ,关联    ,主驱动油脂泵压力（bar）                                        ,
油脂系统型式                                    ,关联    ,油脂桶规格（L）                                             ,
                                          ,      ,                                                     ,
主驱动油脂泵能力（ml/次）                            ,关联    ,主驱动油脂泵压力（bar）                                        ,
主驱动油脂泵能力（ml/次）                            ,关联    ,油脂桶规格（L）                                             ,
主驱动油脂泵压力（bar）                             ,关联    ,油脂桶规格（L）                                             ,
                                          ,      ,                                                     ,
油脂系统型式                                    ,参数配置  ,                                                     ,
主驱动油脂泵型式                                  ,参数配置  ,                                                     ,
主驱动油脂泵能力（ml/次）                            ,参数配置  ,                                                     ,
主驱动油脂泵压力（bar）                             ,参数配置  ,                                                     ,
油脂桶规格（L）                                  ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
排污系统                                      ,细目部件名称,主机污水泵型式                                              ,
排污系统                                      ,细目部件名称,主机污水泵最大能力（m3/h）                                      ,
排污系统                                      ,细目部件名称,后配套污水泵型式                                             ,
排污系统                                      ,细目部件名称,后配套污水泵能力（m3/h）                                       ,
排污系统                                      ,细目部件名称,污水箱容量（m3）                                            ,
                                          ,      ,                                                     ,
主机污水泵型式                                   ,关联    ,主机污水泵最大能力（m3/h）                                      ,
主机污水泵型式                                   ,关联    ,后配套污水泵型式                                             ,
主机污水泵型式                                   ,关联    ,后配套污水泵能力（m3/h）                                       ,
主机污水泵型式                                   ,关联    ,污水箱容量（m3）                                            ,
                                          ,      ,                                                     ,
主机污水泵最大能力（m3/h）                           ,关联    ,后配套污水泵型式                                             ,
主机污水泵最大能力（m3/h）                           ,关联    ,后配套污水泵能力（m3/h）                                       ,
主机污水泵最大能力（m3/h）                           ,关联    ,污水箱容量（m3）                                            ,
                                          ,      ,                                                     ,
后配套污水泵型式                                  ,关联    ,后配套污水泵能力（m3/h）                                       ,
后配套污水泵型式                                  ,关联    ,污水箱容量（m3）                                            ,
后配套污水泵能力（m3/h）                            ,关联    ,污水箱容量（m3）                                            ,
                                          ,      ,                                                     ,
主机污水泵型式                                   ,参数配置  ,                                                     ,
主机污水泵最大能力（m3/h）                           ,参数配置  ,                                                     ,
后配套污水泵型式                                  ,参数配置  ,                                                     ,
后配套污水泵能力（m3/h）                            ,参数配置  ,                                                     ,
污水箱容量（m3）                                 ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
保压及呼吸系统                                   ,细目部件名称,自动保压系统                                               ,
保压及呼吸系统                                   ,细目部件名称,自动保压系统数量（套）                                          ,
                                          ,      ,                                                     ,
自动保压系统                                    ,关联    ,自动保压系统数量（套）                                          ,
                                          ,      ,                                                     ,
自动保压系统                                    ,参数配置  ,                                                     ,
自动保压系统数量（套）                               ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
二次供风系统                                    ,细目部件名称,风管储存筒数量（个）                                           ,
二次供风系统                                    ,细目部件名称,风管储存长度（m）                                            ,
二次供风系统                                    ,细目部件名称,风管直径（mm）                                             ,
二次供风系统                                    ,细目部件名称,通风流量（m3/s）                                           ,
二次供风系统                                    ,细目部件名称,隧道主风管直径（mm）                                          ,
                                          ,      ,                                                     ,
风管储存筒数量（个）                                ,关联    ,风管储存长度（m）                                            ,
风管储存筒数量（个）                                ,关联    ,风管直径（mm）                                             ,
风管储存筒数量（个）                                ,关联    ,通风流量（m3/s）                                           ,
风管储存筒数量（个）                                ,关联    ,隧道主风管直径（mm）                                          ,
                                          ,      ,                                                     ,
风管储存筒数量（个）                                ,关联    ,风管直径（mm）                                             ,
风管储存筒数量（个）                                ,关联    ,通风流量（m3/s）                                           ,
风管储存筒数量（个）                                ,关联    ,隧道主风管直径（mm）                                          ,
                                          ,      ,                                                     ,
风管直径（mm）                                  ,关联    ,通风流量（m3/s）                                           ,
风管直径（mm）                                  ,关联    ,隧道主风管直径（mm）                                          ,
通风流量（m3/s）                                ,关联    ,隧道主风管直径（mm）                                          ,
                                          ,      ,                                                     ,
风管储存筒数量（个）                                ,参数配置  ,                                                     ,
风管储存长度（m）                                 ,参数配置  ,                                                     ,
风管直径（mm）                                  ,参数配置  ,                                                     ,
通风流量（m3/s）                                ,参数配置  ,                                                     ,
隧道主风管直径（mm）                               ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
供电系统                                      ,细目部件名称,初级电压等级                                               ,
供电系统                                      ,细目部件名称,次级电压（V）                                              ,
供电系统                                      ,细目部件名称,功率因数                                                 ,
供电系统                                      ,细目部件名称,变压器型式                                                ,
供电系统                                      ,细目部件名称,变压器容量（kVA）                                           ,
供电系统                                      ,细目部件名称,变压器数量（个）                                             ,
供电系统                                      ,细目部件名称,电气系统防护等级                                             ,
供电系统                                      ,细目部件名称,电缆存储容量（m）                                            ,
供电系统                                      ,细目部件名称,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
初级电压等级                                    ,关联    ,次级电压（V）                                              ,
初级电压等级                                    ,关联    ,功率因数                                                 ,
初级电压等级                                    ,关联    ,变压器型式                                                ,
初级电压等级                                    ,关联    ,变压器容量（kVA）                                           ,
初级电压等级                                    ,关联    ,变压器数量（个）                                             ,
初级电压等级                                    ,关联    ,电气系统防护等级                                             ,
初级电压等级                                    ,关联    ,电缆存储容量（m）                                            ,
初级电压等级                                    ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
次级电压（V）                                   ,关联    ,功率因数                                                 ,
次级电压（V）                                   ,关联    ,变压器型式                                                ,
次级电压（V）                                   ,关联    ,变压器容量（kVA）                                           ,
次级电压（V）                                   ,关联    ,变压器数量（个）                                             ,
次级电压（V）                                   ,关联    ,电气系统防护等级                                             ,
次级电压（V）                                   ,关联    ,电缆存储容量（m）                                            ,
次级电压（V）                                   ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
功率因数                                      ,关联    ,变压器型式                                                ,
功率因数                                      ,关联    ,变压器容量（kVA）                                           ,
功率因数                                      ,关联    ,变压器数量（个）                                             ,
功率因数                                      ,关联    ,电气系统防护等级                                             ,
功率因数                                      ,关联    ,电缆存储容量（m）                                            ,
功率因数                                      ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
变压器型式                                     ,关联    ,变压器容量（kVA）                                           ,
变压器型式                                     ,关联    ,变压器数量（个）                                             ,
变压器型式                                     ,关联    ,电气系统防护等级                                             ,
变压器型式                                     ,关联    ,电缆存储容量（m）                                            ,
变压器型式                                     ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
变压器容量（kVA）                                ,关联    ,变压器数量（个）                                             ,
变压器容量（kVA）                                ,关联    ,电气系统防护等级                                             ,
变压器容量（kVA）                                ,关联    ,电缆存储容量（m）                                            ,
变压器容量（kVA）                                ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
变压器数量（个）                                  ,关联    ,电气系统防护等级                                             ,
变压器数量（个）                                  ,关联    ,电缆存储容量（m）                                            ,
变压器数量（个）                                  ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
电气系统防护等级                                  ,关联    ,电缆存储容量（m）                                            ,
电气系统防护等级                                  ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
电缆存储容量（m）                                 ,关联    ,建议隧道内高压电缆截面（mm2）                                     ,
                                          ,      ,                                                     ,
初级电压等级                                    ,参数配置  ,                                                     ,
次级电压（V）                                   ,参数配置  ,                                                     ,
功率因数                                      ,参数配置  ,                                                     ,
变压器型式                                     ,参数配置  ,                                                     ,
变压器容量（kVA）                                ,参数配置  ,                                                     ,
变压器数量（个）                                  ,参数配置  ,                                                     ,
电气系统防护等级                                  ,参数配置  ,                                                     ,
电缆存储容量（m）                                 ,参数配置  ,                                                     ,
建议隧道内高压电缆截面（mm2）                          ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
导向系统                                      ,细目部件名称,类型                                                   ,
导向系统                                      ,细目部件名称,精度（″）                                                ,
导向系统                                      ,细目部件名称,全站仪                                                  ,
                                          ,      ,                                                     ,
类型                                        ,关联    ,精度（″）                                                ,
类型                                        ,关联    ,全站仪                                                  ,
精度（″）                                     ,关联    ,全站仪                                                  ,
                                          ,      ,                                                     ,
类型                                        ,参数配置  ,                                                     ,
精度（″）                                     ,参数配置  ,                                                     ,
全站仪                                       ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
控制系统                                      ,细目部件名称,可编程控制器                                               ,
可编程控制器                                    ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
监控系统                                      ,细目部件名称,地面监控                                                 ,
监控系统                                      ,细目部件名称,摄像头（个）                                               ,
地面监控                                      ,关联    ,摄像头（个）                                               ,
地面监控                                      ,参数配置  ,                                                     ,
摄像头（个）                                    ,参数配置  ,                                                     ,
